ITP,Long,Lat,Time
1,-142.1214090909091,77.68127272727273,2006-03-06
1,-142.2542909090909,77.7262090909091,2006-03-07
1,-142.27385,77.71917499999999,2006-03-08
1,-142.29256,77.69139000000003,2006-03-09
1,-142.21838888888888,77.65998888888889,2006-03-10
1,-141.9840111111111,77.63317777777777,2006-03-11
1,-141.65791666666667,77.61843333333333,2006-03-12
1,-141.21631666666667,77.63757499999998,2006-03-13
1,-141.03490833333333,77.62030833333333,2006-03-14
1,-141.02805,77.62571,2006-03-15
1,-140.97072727272732,77.6884181818182,2006-03-16
1,-140.82767500000003,77.74853333333334,2006-03-17
1,-140.7057166666667,77.78524166666666,2006-03-18
1,-140.6931,77.79826666666666,2006-03-19
1,-140.7743,77.80989000000001,2006-03-20
1,-141.21628181818184,77.82608181818182,2006-03-21
1,-141.89537272727273,77.83485454545455,2006-03-22
1,-142.15686363636362,77.83315454545455,2006-03-23
1,-142.18333636363639,77.83322727272729,2006-03-24
1,-142.21403636363632,77.82808181818183,2006-03-25
1,-142.13543636363636,77.81,2006-03-26
1,-142.00229166666668,77.793925,2006-03-27
1,-141.91099166666663,77.79020833333333,2006-03-28
1,-141.85194999999996,77.78575000000001,2006-03-29
1,-141.82233,77.78646,2006-03-30
1,-141.85437272727273,77.78508181818182,2006-03-31
1,-141.94611,77.79538,2006-04-01
1,-142.0836909090909,77.77182727272726,2006-04-02
1,-142.2097727272727,77.74759090909092,2006-04-03
1,-142.35714545454545,77.73212727272727,2006-04-04
1,-142.4423,77.7230909090909,2006-04-05
1,-142.43516666666667,77.71240833333333,2006-04-06
1,-142.40340833333335,77.69456666666666,2006-04-07
1,-142.38093636363638,77.68622727272727,2006-04-08
1,-142.3553090909091,77.6787909090909,2006-04-09
1,-142.3381111111111,77.65511111111113,2006-04-10
1,-142.36360833333333,77.60875,2006-04-11
1,-142.25239166666668,77.57796666666667,2006-04-12
1,-142.12751666666665,77.55775833333333,2006-04-13
1,-141.98852727272725,77.52157272727273,2006-04-14
1,-141.83719090909088,77.47076363636364,2006-04-15
1,-141.80962727272728,77.46463636363636,2006-04-16
1,-141.80159166666667,77.49616666666667,2006-04-17
1,-141.85888181818183,77.5146,2006-04-18
1,-141.95931666666664,77.50905833333333,2006-04-19
1,-142.106625,77.517675,2006-04-20
1,-142.13881818181818,77.52964545454546,2006-04-21
1,-142.17720833333334,77.49846666666667,2006-04-22
1,-142.2056,77.47701,2006-04-23
1,-142.25751666666667,77.46284166666668,2006-04-24
1,-142.45345,77.46700000000001,2006-04-25
1,-142.72572499999998,77.46779166666667,2006-04-26
1,-143.01742727272728,77.42827272727273,2006-04-27
1,-143.23688333333334,77.33725833333334,2006-04-28
1,-143.3367,77.23157,2006-04-29
1,-143.29772,77.10072000000001,2006-04-30
